population,annual_ceiling,uptake,redemption,service,admin,optional_help,infrastructure,devices,evaluation,projects,total,base_maximum,one_off,description
18000000,2400,0.75,1.0,32400000000.000,1620000000.00000,270000000.000,500000000,100000000,100000000,250000000,35240000000.00000,43200000000,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
18000000,2400,1,1,43200000000,2160000000.00,360000000.0,500000000,100000000,100000000,250000000,46670000000.00,43200000000,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
20000000,600,0.25,0.5,1500000000.000,75000000.00000,100000000.000,500000000,100000000,100000000,250000000,2625000000.00000,12000000000,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
20000000,600,0.25,0.75,2250000000.0000,112500000.000000,100000000.000,500000000,100000000,100000000,250000000,3412500000.000000,12000000000,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
20000000,600,0.25,1.0,3000000000.000,150000000.00000,100000000.000,500000000,100000000,100000000,250000000,4200000000.00000,12000000000,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
20000000,600,0.5,0.5,3000000000.00,150000000.0000,200000000.00,500000000,100000000,100000000,250000000,4300000000.0000,12000000000,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
20000000,600,0.5,0.75,4500000000.000,225000000.00000,200000000.00,500000000,100000000,100000000,250000000,5875000000.00000,12000000000,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
20000000,600,0.5,1.0,6000000000.00,300000000.0000,200000000.00,500000000,100000000,100000000,250000000,7450000000.0000,12000000000,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
20000000,600,0.75,0.5,4500000000.000,225000000.00000,300000000.000,500000000,100000000,100000000,250000000,5975000000.00000,12000000000,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
20000000,600,0.75,0.75,6750000000.0000,337500000.000000,300000000.000,500000000,100000000,100000000,250000000,8337500000.000000,12000000000,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
20000000,600,0.75,1.0,9000000000.000,450000000.00000,300000000.000,500000000,100000000,100000000,250000000,10700000000.00000,12000000000,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
20000000,600,1,1,12000000000,600000000.00,400000000.0,500000000,100000000,100000000,250000000,13950000000.00,12000000000,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
20000000,1200,0.25,0.5,3000000000.000,150000000.00000,100000000.000,500000000,100000000,100000000,250000000,4200000000.00000,24000000000,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
20000000,1200,0.25,0.75,4500000000.0000,225000000.000000,100000000.000,500000000,100000000,100000000,250000000,5775000000.000000,24000000000,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
20000000,1200,0.25,1.0,6000000000.000,300000000.00000,100000000.000,500000000,100000000,100000000,250000000,7350000000.00000,24000000000,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
20000000,1200,0.5,0.5,6000000000.00,300000000.0000,200000000.00,500000000,100000000,100000000,250000000,7450000000.0000,24000000000,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
20000000,1200,0.5,0.75,9000000000.000,450000000.00000,200000000.00,500000000,100000000,100000000,250000000,10600000000.00000,24000000000,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
20000000,1200,0.5,1.0,12000000000.00,600000000.0000,200000000.00,500000000,100000000,100000000,250000000,13750000000.0000,24000000000,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
20000000,1200,0.75,0.5,9000000000.000,450000000.00000,300000000.000,500000000,100000000,100000000,250000000,10700000000.00000,24000000000,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
20000000,1200,0.75,0.75,13500000000.0000,675000000.000000,300000000.000,500000000,100000000,100000000,250000000,15425000000.000000,24000000000,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
20000000,1200,0.75,1.0,18000000000.000,900000000.00000,300000000.000,500000000,100000000,100000000,250000000,20150000000.00000,24000000000,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
20000000,1200,1,1,24000000000,1200000000.00,400000000.0,500000000,100000000,100000000,250000000,26550000000.00,24000000000,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
20000000,2400,0.25,0.5,6000000000.000,300000000.00000,100000000.000,500000000,100000000,100000000,250000000,7350000000.00000,48000000000,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
20000000,2400,0.25,0.75,9000000000.0000,450000000.000000,100000000.000,500000000,100000000,100000000,250000000,10500000000.000000,48000000000,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
20000000,2400,0.25,1.0,12000000000.000,600000000.00000,100000000.000,500000000,100000000,100000000,250000000,13650000000.00000,48000000000,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
20000000,2400,0.5,0.5,12000000000.00,600000000.0000,200000000.00,500000000,100000000,100000000,250000000,13750000000.0000,48000000000,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
20000000,2400,0.5,0.75,18000000000.000,900000000.00000,200000000.00,500000000,100000000,100000000,250000000,20050000000.00000,48000000000,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
20000000,2400,0.5,1.0,24000000000.00,1200000000.0000,200000000.00,500000000,100000000,100000000,250000000,26350000000.0000,48000000000,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
20000000,2400,0.75,0.5,18000000000.000,900000000.00000,300000000.000,500000000,100000000,100000000,250000000,20150000000.00000,48000000000,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
